1,3,1
1,10,1
1,12,8
1,17,1
1,23,8
1,25,1
1,27,6
1,28,7
1,31,10
1,39,12
1,45,2
1,48,2
1,49,3
1,56,4
1,60,3
1,66,2
1,73,6
1,75,1
1,89,1
1,90,1
1,124,2
1,127,1
1,128,1
1,179,4
1,180,2
1,186,9
1,188,1
1,201,2
1,214,1
1,233,1
1,242,1
1,251,1
1,252,1
1,255,4
1,257,2
1,264,1
1,278,7
1,294,1
1,299,1
1,311,1
1,315,5
1,340,2
1,345,1
1,347,1
1,382,1
1,386,3
1,387,4
1,389,1
1,390,3
1,395,1
1,406,1
1,427,2
1,432,1
1,454,1
1,464,2
1,490,2
1,496,2
1,505,1
1,510,1
1,511,2
1,521,1
1,524,1
1,569,1
1,582,3
1,606,1
1,619,1
1,620,1
1,629,2
1,632,1
1,634,1
1,645,1
1,664,2
1,672,1
1,673,2
1,677,2
1,681,2
1,683,1
1,690,1
1,697,4
1,707,1
1,718,1
1,739,1
1,746,1
1,750,1
1,757,1
1,763,1
1,784,1
1,801,1
1,822,1
1,823,3
1,825,2
1,843,1
1,857,5
1,869,1
1,871,1
1,890,1
1,891,1
1,900,2
1,901,1
1,925,1
1,939,2
1,1009,1
1,1054,1
1,1063,1
1,1137,1
1,1163,1
1,1164,1
1,1165,1
1,1180,1
1,1200,1
1,1227,1
1,1246,3
1,1248,2
1,1290,1
1,1293,1
1,1296,1
1,1315,1
1,1322,1
1,1327,1
1,1344,1
1,1346,2
1,1442,1
1,1472,1
1,1606,1
1,1657,1
1,1674,1
1,1886,2
1,1898,1
1,1988,1
1,2062,1
1,2088,1
1,2213,1
1,2452,1
1,2825,1
1,2826,1
1,3020,1
1,3021,1
1,3022,1
1,3023,1
1,3158,1
1,3412,1
1,3749,1
1,3953,1
1,4296,1
1,4331,1
1,4438,1
1,4511,1
1,4665,1
1,5502,1
1,5558,1
1,5661,1
1,6229,1
1,6361,2
1,6362,2
1,6363,1
1,6364,1
1,6365,1
1,6699,1
1,6794,1
1,10308,1
1,10525,1
1,13168,1
1,14878,1
2,7,1
2,12,2
2,27,4
2,28,1
2,31,1
2,45,1
2,48,2
2,66,1
2,75,3
2,142,2
2,186,2
2,201,1
2,235,1
2,239,1
2,251,1
2,253,1
2,257,2
2,315,2
2,522,1
2,559,2
2,582,1
2,606,1
2,629,1
2,664,1
2,692,1
2,719,1
2,724,2
2,725,1
2,738,1
2,757,1
2,779,1
2,846,1
2,848,1
2,891,1
2,1201,1
2,1406,1
2,1551,1
2,1736,1
2,1752,1
2,2053,1
2,2709,2
2,2710,1
2,2711,2
2,2712,1
2,2713,1
2,2714,1
2,2715,1
2,2716,1
2,2717,1
2,3103,1
2,3151,1
2,5318,2
2,5479,1
2,6369,2
3,12,3
3,16,1
3,23,3
3,24,1
3,25,1
3,27,8
3,28,5
3,31,14
3,39,5
3,48,1
3,49,6
3,56,10
3,65,2
3,69,1
3,72,2
3,73,3
3,75,1
3,89,2
3,117,2
3,124,3
3,128,3
3,159,1
3,186,8
3,191,1
3,201,4
3,202,1
3,223,2
3,240,2
3,241,1
3,242,1
3,248,1
3,255,1
3,318,1
3,324,1
3,343,1
3,350,1
3,352,1
3,358,1
3,374,3
3,380,1
3,386,5
3,387,12
3,390,3
3,396,1
3,402,2
3,406,1
3,429,2
3,443,1
3,522,1
3,524,3
3,539,1
3,582,1
3,586,1
3,602,1
3,603,1
3,616,2
3,623,1
3,626,1
3,627,3
3,629,1
3,632,3
3,637,1
3,685,1
3,688,1
3,692,1
3,717,1
3,724,3
3,731,1
3,738,1
3,748,1
3,755,2
3,757,6
3,769,1
3,798,1
3,801,4
3,804,2
3,825,3
3,832,1
3,837,1
3,843,2
3,851,1
3,855,3
3,884,1
3,890,2
3,891,2
3,933,1
3,934,2
3,935,2
3,936,2
3,937,1
3,938,1
3,956,1
3,1015,2
3,1045,1
3,1050,1
3,1122,2
3,1124,1
3,1134,1
3,1193,1
3,1225,1
3,1239,1
3,1245,1
3,1250,1
3,1259,1
3,1282,1
3,1315,2
3,1323,1
3,1327,1
3,1344,1
3,1345,1
3,1374,2
3,1399,1
3,1422,1
3,1489,1
3,1490,2
3,1500,1
3,1504,1
3,1551,1
3,1594,1
3,1609,2
3,1613,1
3,1649,1
3,1656,1
3,1678,1
3,1744,1
3,1780,1
3,1820,1
3,1923,1
3,1944,1
3,1981,1
3,1996,1
3,2283,2
3,2448,1
3,2455,1
3,2535,2
3,2636,1
3,2739,1
3,2829,3
3,2844,2
3,2886,2
3,2962,1
3,3037,1
3,3038,2
3,3179,1
3,3180,2
3,3181,1
3,3182,4
3,3190,5
3,3573,1
3,4087,1
3,4089,1
3,4090,1
3,4136,2
3,4296,1
3,4406,2
3,4451,1
3,4672,1
3,4754,1
3,4847,1
3,5016,1
3,5063,1
3,5224,1
3,5504,5
3,5589,2
3,5712,1
3,5770,1
3,6216,2
3,6226,1
3,6282,1
3,6484,1
3,6524,1
3,6525,1
3,6526,1
3,6527,1
3,7879,1
3,12619,1
